ticker,fs_method,top_k,n_past,activation,DIR_ACC,MAE,RMSE,n_features,features
AAPL,mi,10,10,tanh,1.0,0.001719190483701949,0.001719190483701949,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,10,relu,1.0,0.0013841890257098033,0.0013841890257098033,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,10,selu,0.0,0.003312660927629496,0.003312660927629496,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,20,tanh,1.0,0.0023706123400260015,0.0023706123400260015,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,20,relu,1.0,0.0024144377464907496,0.0024144377464907496,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,20,selu,0.0,0.0031110083444290115,0.0031110083444290115,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,40,tanh,0.0,0.003093526517484735,0.003093526517484735,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,40,relu,0.0,0.0031117480473839,0.0031117480473839,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,40,selu,1.0,0.0019995537812136366,0.0019995537812136366,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,60,tanh,0.0,0.0028143958705257877,0.0028143958705257877,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,60,relu,1.0,0.001204398017587538,0.001204398017587538,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,60,selu,1.0,0.003976184619379763,0.003976184619379763,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
