ticker,fs_method,top_k,n_past,activation,MAE,RMSE,MAPE,n_features,features
AAPL,mi,5,10,selu,0.010477389219734708,0.01534624247719289,157.88875540719164,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,20,tanh,0.010787611379723706,0.015693811540334304,119.39240098254378,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,20,relu,0.01065804083431666,0.015192387056748859,95.45936443343557,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,20,selu,0.010411897545203871,0.0152750823318724,130.40272213017056,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,40,tanh,0.01072030387458518,0.01517174043578338,107.47102670560025,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,40,relu,0.011824926779731702,0.01664731103037715,129.25225597498587,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,40,selu,0.010888824308524158,0.01542408277260825,139.92939599753706,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,60,tanh,0.012331194815627883,0.01668194483960414,245.98308170674952,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,60,relu,0.011762333363780545,0.016655233308971975,143.55467666661787,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,5,60,selu,0.011577705103923697,0.015748769875314542,147.8065716862585,6,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume']"
AAPL,mi,10,10,tanh,0.011174412489182708,0.015475015943609153,122.60926455839649,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,10,relu,0.011211500560583893,0.015640663632092332,114.97811733856025,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,10,selu,0.010590076982202733,0.015029995023259246,126.62470237377086,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,20,tanh,0.010915962419601598,0.01510113002420445,119.84347162624964,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,20,relu,0.011147658356472278,0.01522201868571041,183.26544104708003,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,20,selu,0.01074278611785818,0.014785794450172068,148.73863955706076,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,40,tanh,0.010094433470241838,0.01436944229836158,119.63410586612335,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,40,relu,0.011205935572285889,0.01579493777754766,155.2473248387376,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,40,selu,0.011029653376797297,0.01516660295429156,125.12299563063924,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,60,tanh,0.010688593306898633,0.015191165853122215,102.35815095001688,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,60,relu,0.011933687405211913,0.016455274266856227,159.0125367337026,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
AAPL,mi,10,60,selu,0.011971656206763591,0.016530936567412655,202.477854024874,11,"['returns', 'PCT_change', 'weighted_tech_sentiment', '%K_14', 'HL_PCT', 'ADI', 'Volume', 'commodity_index', '%D', 'ev_y', 'grossmargin', 'assetsnc']"
GOOG,manual,3,10,tanh,0.01246894226034464,0.019974542134510803,175.6091866012505,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,10,relu,0.012452184883372533,0.01940573606694186,278.0526172235506,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,10,selu,0.012397323450576772,0.01994635573336693,142.44756335229724,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,20,tanh,0.013317717066135595,0.021261889508691678,149.8669539600382,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
GOOG,manual,3,20,relu,0.01214875449866778,0.019119781343592112,188.12519709156282,2,"['returns', 'PCT_change', 'weighted_tech_sentiment']"
