Date,Indice
6/8/2023,2288.10
7/8/2023,2300.95
8/8/2023,2276.74
9/8/2023,2250.35
10/8/2023,2251.60
11/8/2023,2231.68
13/8/2023,2231.64
14/8/2023,2258.53
15/8/2023,2240.82
16/8/2023,2221.17
17/8/2023,2201.97
18/8/2023,2196.92
20/8/2023,2196.98
21/8/2023,2231.99
22/8/2023,2234.71
23/8/2023,2274.00
24/8/2023,2237.19
25/8/2023,2239.93
27/8/2023,2239.93
28/8/2023,2259.65
29/8/2023,2305.31
30/8/2023,2322.74
31/8/2023,2331.54
1/9/2023,2337.31
3/9/2023,2337.28
4/9/2023,2341.06
5/9/2023,2345.17
6/9/2023,2321.29
7/9/2023,2293.64
8/9/2023,2295.67
10/9/2023,2295.58
11/9/2023,2306.27
12/9/2023,2274.67
13/9/2023,2280.40
14/9/2023,2299.60
15/9/2023,2265.58
17/9/2023,2265.55
18/9/2023,2266.49
19/9/2023,2261.56
20/9/2023,2225.21
21/9/2023,2187.71
22/9/2023,2194.58
24/9/2023,2194.58
25/9/2023,2201.54
26/9/2023,2164.06
27/9/2023,2171.08
28/9/2023,2187.05
29/9/2023,2193.57
1/10/2023,2193.62
2/10/2023,2219.50
3/10/2023,2181.22
4/10/2023,2202.19
5/10/2023,2208.12
6/10/2023,2249.50
8/10/2023,2249.42
9/10/2023,2258.25
10/10/2023,2267.49
11/10/2023,2292.29
12/10/2023,2293.65
13/10/2023,2256.81
15/10/2023,2256.72
16/10/2023,2273.51
17/10/2023,2267.06
18/10/2023,2237.33
19/10/2023,2225.61
20/10/2023,2191.85
22/10/2023,2191.76
23/10/2023,2197.85
24/10/2023,2214.45
25/10/2023,2167.96
26/10/2023,2120.35
27/10/2023,2133.98
29/10/2023,2133.95
30/10/2023,2157.26
31/10/2023,2161.68
1/11/2023,2199.49
2/11/2023,2239.06
3/11/2023,2269.14
5/11/2023,2269.22
6/11/2023,2289.14
7/11/2023,2310.34
8/11/2023,2321.69
9/11/2023,2313.79
10/11/2023,2358.73
12/11/2023,2358.74
13/11/2023,2354.40
14/11/2023,2397.66
15/11/2023,2408.81
16/11/2023,2423.06
17/11/2023,2418.04
19/11/2023,2418.00
20/11/2023,2450.93
21/11/2023,2438.33
22/11/2023,2444.06
23/11/2023,2445.17
24/11/2023,2434.13
26/11/2023,2434.15
27/11/2023,2432.44
28/11/2023,2442.90
29/11/2023,2444.12
30/11/2023,2438.78
1/12/2023,2439.49
3/12/2023,2439.48
4/12/2023,2411.38
5/12/2023,2421.50
6/12/2023,2406.82
7/12/2023,2438.74
8/12/2023,2457.18
10/12/2023,2457.24
11/12/2023,2460.14
12/12/2023,2478.71
13/12/2023,2496.45
14/12/2023,2501.21
15/12/2023,2517.66
17/12/2023,2517.65
18/12/2023,2526.53
19/12/2023,2535.73
20/12/2023,2511.11
21/12/2023,2534.05
22/12/2023,2533.49
24/12/2023,2533.51
25/12/2023,2534.05
26/12/2023,2545.61
27/12/2023,2552.41
28/12/2023,2558.20
29/12/2023,2548.56
31/12/2023,2548.55
1/1/2024,2548.70
2/1/2024,2491.06
3/1/2024,2463.03
4/1/2024,2448.74
5/1/2024,2450.67
7/1/2024,2450.68
8/1/2024,2506.20
9/1/2024,2513.88
10/1/2024,2536.23
11/1/2024,2545.87
12/1/2024,2556.40
14/1/2024,2556.35
15/1/2024,2555.82
16/1/2024,2553.53
17/1/2024,2536.04
18/1/2024,2582.02
19/1/2024,2642.50
21/1/2024,2642.55
22/1/2024,2654.18
23/1/2024,2665.47
24/1/2024,2690.83
25/1/2024,2706.04
26/1/2024,2682.93
28/1/2024,2682.84
29/1/2024,2708.86
30/1/2024,2690.14
31/1/2024,2626.04
1/2/2024,2652.98
2/2/2024,2710.54
4/2/2024,2710.62
5/2/2024,2714.93
6/2/2024,2713.32
7/2/2024,2748.87
8/2/2024,2757.67
9/2/2024,2793.78
11/2/2024,2793.82
12/2/2024,2777.27
13/2/2024,2736.39
14/2/2024,2766.01
15/2/2024,2766.39
16/2/2024,2742.97
18/2/2024,2742.96
19/2/2024,2739.85
20/2/2024,2713.46
21/2/2024,2695.17
22/2/2024,2794.01
23/2/2024,2788.05
25/2/2024,2787.93
26/2/2024,2780.22
27/2/2024,2786.70
28/2/2024,2767.26
29/2/2024,2795.50
1/3/2024,2834.93
3/3/2024,2834.99
4/3/2024,2840.16
5/3/2024,2787.58
6/3/2024,2811.17
7/3/2024,2863.05
8/3/2024,2830.15
10/3/2024,2830.09
11/3/2024,2812.27
12/3/2024,2870.56
13/3/2024,2850.89
14/3/2024,2848.24
15/3/2024,2805.68
17/3/2024,2805.67
18/3/2024,2834.82
19/3/2024,2840.12
20/3/2024,2871.10
21/3/2024,2890.44
22/3/2024,2899.15
24/3/2024,2899.13
25/3/2024,2885.10
26/3/2024,2872.20
27/3/2024,2871.97
28/3/2024,2865.05
29/3/2024,2868.83
31/3/2024,2868.84
1/4/2024,2878.10
2/4/2024,2864.01
3/4/2024,2868.56
4/4/2024,2832.91
5/4/2024,2863.59
7/4/2024,2863.56
8/4/2024,2860.10
9/4/2024,2868.34
10/4/2024,2853.32
11/4/2024,2901.87
12/4/2024,2859.38
14/4/2024,2859.31
15/4/2024,2804.13
16/4/2024,2796.53
17/4/2024,2761.28
18/4/2024,2750.33
19/4/2024,2667.20
21/4/2024,2667.09
22/4/2024,2691.58
23/4/2024,2739.96
24/4/2024,2755.11
25/4/2024,2727.31
26/4/2024,2794.49
28/4/2024,2794.47
29/4/2024,2791.04
30/4/2024,2739.42
1/5/2024,2722.32
2/5/2024,2758.88
3/5/2024,2823.93
5/5/2024,2823.96
6/5/2024,2862.26
7/5/2024,2863.37
8/5/2024,2859.72
9/5/2024,2855.97
10/5/2024,2863.06
12/5/2024,2863.09
13/5/2024,2873.05
14/5/2024,2896.06
15/5/2024,2953.30
16/5/2024,2953.44
17/5/2024,2944.52
19/5/2024,2944.44
20/5/2024,2973.23
21/5/2024,2975.11
22/5/2024,2977.45
23/5/2024,2986.09
24/5/2024,3008.85
26/5/2024,3008.81
27/5/2024,3013.77
28/5/2024,3044.33
29/5/2024,3026.06
30/5/2024,2957.16
31/5/2024,2948.52
2/6/2024,2948.49
3/6/2024,2981.18
4/6/2024,2988.23
5/6/2024,3059.65
6/6/2024,3061.78
7/6/2024,3059.80
9/6/2024,3059.88
10/6/2024,3068.29
11/6/2024,3103.80
12/6/2024,3168.41
13/6/2024,3190.69
14/6/2024,3202.42
16/6/2024,3202.39
17/6/2024,3227.64
18/6/2024,3241.37
